,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
193,Kavieng,98,PG,1608171153,67,-2.57,150.8,85.69,6.78
194,Douglas,90,US,1608171153,79,41.3,-96.17,26.6,4.7
195,Dawei,4,MM,1608171105,62,14.08,98.2,81.97,5.19
196,Ziro,74,IN,1608171154,100,27.63,93.83,41.86,2.24
197,Belaya Gora,100,RU,1608171105,88,68.53,146.42,-17.75,4.32
198,Port Hawkesbury,90,CA,1608171154,79,45.62,-61.35,21.99,17.22
199,Truth or Consequences,1,US,1608171154,28,33.13,-107.25,44.6,2.13
200,Youkounkoun,18,GN,1608171154,25,12.53,-13.13,72.55,1.99
201,Praia da Vitória,20,PT,1608171154,77,38.73,-27.07,64.4,17.16
202,Lewisporte,90,CA,1608171154,79,49.25,-55.05,24.8,23.04
203,Esim,100,GH,1608171154,88,4.87,-2.24,78.03,6.91
204,San Jerónimo,100,PE,1608171155,70,-11.95,-75.28,51.8,4.25
205,Dikson,0,RU,1608171155,82,73.51,80.55,-30.84,16.13
206,Coyhaique,75,CL,1608171155,62,-45.58,-72.07,53.6,4.7
207,Sfântu Gheorghe,100,RO,1608171155,94,45.87,25.78,30.0,1.45
208,Balabac,100,PH,1608171155,79,7.99,117.06,82.44,16.02
209,Kavaratti,72,IN,1608171155,72,10.57,72.64,81.52,6.82
210,Wilson,90,US,1608171155,100,36.15,-86.28,37.99,4.7
211,Olinda,40,BR,1608170983,69,-8.01,-34.86,78.8,4.7
212,El Real de Santa Maria,93,PA,1608171156,93,8.11,-77.73,74.98,1.12
213,Morro Bay,87,US,1608171156,81,35.37,-120.85,55.0,1.99
214,Mountain Home,1,US,1608171018,100,43.13,-115.69,37.4,17.22
215,Egvekinot,79,RU,1608171156,90,66.32,-179.17,2.37,17.92
216,Nelson Bay,60,AU,1608171156,62,-32.72,152.15,88.0,6.93
217,Chimbote,100,PE,1608171156,82,-9.09,-78.58,69.06,6.98
218,Dunedin,75,NZ,1608170902,72,-45.87,170.5,52.0,8.01
219,Poum,98,NC,1608171157,64,-20.23,164.02,80.02,9.35
220,Kholodnyy,87,RU,1608171157,83,62.72,147.95,-24.34,3.47
221,La Reforma,0,MX,1608171157,95,18.1,-91.02,71.42,5.41
222,Barcelona,20,ES,1608171157,81,41.39,2.16,52.0,12.75
223,Kaitangata,7,NZ,1608171076,59,-46.28,169.85,57.0,8.99
224,Puerto Escondido,40,MX,1608171129,78,15.85,-97.07,77.0,3.36
225,Namtsy,90,RU,1608171157,56,62.72,129.67,-49.0,2.24
226,Coahuayana Viejo,5,MX,1608171158,83,18.73,-103.68,69.8,1.03
227,Kahului,40,US,1608171158,58,20.89,-156.47,82.4,20.8
228,Kruisfontein,15,ZA,1608171158,86,-34.0,24.73,64.0,1.01
229,Prieska,0,ZA,1608171158,20,-29.66,22.75,75.43,1.81
230,Broken Hill,17,AU,1608171158,37,-31.95,141.43,84.2,13.87
231,Hasaki,20,JP,1608171158,38,35.73,140.83,45.0,10.29
232,Badou,28,TG,1608171158,79,7.58,0.6,74.88,2.13
233,Aiquile,100,BO,1608171159,82,-18.2,-65.18,61.36,2.48
234,Presidencia Roque Sáenz Peña,0,AR,1608171159,71,-26.79,-60.44,77.0,1.01
235,Kjøllefjord,90,NO,1608171159,92,70.95,27.35,22.71,7.74
236,Margate,100,GB,1608171064,86,51.38,1.39,48.99,1.99
237,Mortka,100,RU,1608171159,97,59.33,66.02,19.08,9.4
238,Hilo,1,US,1608171159,65,19.73,-155.09,78.8,4.7
239,Gachsaran,75,IR,1608171159,87,30.36,50.8,50.0,4.7
240,Laguna,90,US,1608171160,71,38.42,-121.42,53.6,3.36
241,Pshekhskaya,90,RU,1608171160,97,44.7,39.8,32.0,4.47
242,Pilar,0,BR,1608171160,94,-9.6,-35.96,73.4,3.36
243,Iqaluit,75,CA,1608171082,65,63.75,-68.51,3.2,12.75
244,Husavik,90,IS,1608171160,90,66.04,-17.34,35.6,10.29
245,Grindavik,0,IS,1608171161,80,63.84,-22.43,35.6,10.29
246,San Cristobal,100,VE,1608171161,89,7.77,-72.22,64.8,1.34
247,Homer,75,US,1608171161,74,59.64,-151.55,33.8,4.7
248,Jaltocan,94,MX,1608171161,61,21.15,-98.53,59.74,2.8
249,Ponta Delgada,20,PT,1608171161,93,37.73,-25.67,62.6,20.8
250,Sitka,90,US,1608171161,75,57.05,-135.33,41.0,6.93
251,Bow Island,89,CA,1608171161,93,49.87,-111.37,32.0,8.05
252,Namatanai,99,PG,1608171093,69,-3.67,152.43,85.5,4.07
253,Milas,0,TR,1608171162,93,37.32,27.78,44.6,1.12
254,Narón,0,ES,1608171162,87,43.52,-8.15,52.0,5.82
255,Muros,58,ES,1608171162,92,42.78,-9.06,51.01,6.89
256,Bambanglipuro,2,ID,1608171162,77,-7.95,110.28,73.99,7.87
257,Fort Nelson,90,CA,1608171162,76,58.81,-122.7,-5.8,11.41
258,Río Esteban,40,HN,1608171162,88,15.83,-86.3,78.8,5.82
259,Vozhega,100,RU,1608171162,99,60.47,40.22,26.56,7.02
260,Liverpool,82,GB,1608170955,87,53.41,-2.98,45.0,12.75
261,Brooks,99,CA,1608171163,92,50.58,-111.89,26.01,6.93
262,Tura,0,IN,1608171075,55,25.52,90.22,62.98,1.63
263,Darhan,100,MN,1608171163,89,49.49,105.92,3.43,1.59
264,San Rafael,0,AR,1608171163,20,-34.62,-68.33,78.91,10.2
265,Wajima,20,JP,1608171163,73,37.4,136.9,32.0,6.93
266,Bud,90,US,1608171164,86,39.45,-86.18,28.99,3.36
267,Geraldton,0,AU,1608171164,47,-28.77,114.6,78.8,16.11
268,Norman Wells,40,CA,1608171124,74,65.28,-126.83,-27.4,3.36
269,Vitim,100,RU,1608171164,86,59.45,112.56,-12.96,10.63
270,Tegal,65,ID,1608171164,68,-6.87,109.14,83.7,3.67
271,Tautira,20,PF,1608171164,55,-17.73,-149.15,87.8,11.41
272,Tongren,100,CN,1608171164,68,27.72,109.19,38.46,4.38
273,Kokoda,79,PG,1608171165,64,-8.88,147.74,85.37,2.39
274,Jati,0,PK,1608171165,42,24.35,68.27,50.83,11.61
275,Damaturu,62,NG,1608171165,25,11.75,11.96,67.08,8.14
276,Katherine,90,AU,1608171165,70,-14.47,132.27,86.0,10.29
277,Seoul,1,KR,1608170877,48,37.57,126.98,23.0,1.14
278,Vila Franca do Campo,20,PT,1608171165,93,37.72,-25.43,62.6,20.8
279,Jalu,8,LY,1608171165,83,29.03,21.55,52.16,4.9
280,Saint-Augustin,100,CA,1608171165,90,51.23,-58.65,16.81,24.27
281,Nexø,96,DK,1608171165,87,55.06,15.13,44.6,17.22
282,Ilulissat,42,GL,1608171146,52,69.22,-51.1,17.6,1.12
283,Puerto Maldonado,100,PE,1608171166,94,-12.6,-69.18,74.08,0.98
284,Alice Springs,0,AU,1608171166,20,-23.7,133.88,100.99,14.99
285,Anadyr,40,RU,1608170883,78,64.75,177.48,17.6,26.84
286,Farah,0,AF,1608171166,68,32.5,62.5,33.49,1.21
287,Dodge City,1,US,1608171020,69,37.75,-100.02,33.8,12.75
288,Te Anau,87,NZ,1608171167,70,-45.42,167.72,61.27,1.16
289,Sur,29,OM,1608171167,55,22.57,59.53,67.01,5.91
290,Oak Park,90,US,1608171167,69,41.88,-87.78,34.0,6.93
291,Duliāgaon,40,IN,1608171167,93,27.37,95.32,57.2,1.45
292,Bustuchin,100,RO,1608171167,88,44.97,23.73,37.22,1.59
293,Sandviken,100,SE,1608171167,97,60.62,16.77,32.0,3.0
294,Siloam Springs,90,US,1608171167,86,36.19,-94.54,30.2,3.36
295,Fortuna,90,US,1608171167,93,40.6,-124.16,55.99,13.87
296,Bathsheba,40,BB,1608171168,74,13.22,-59.52,80.6,16.11
297,Half Moon Bay,90,US,1608171168,87,37.46,-122.43,55.99,5.82
298,Krasnoarmeysk,9,RU,1608171168,82,51.02,45.7,21.0,1.99
299,Camacha,40,PT,1608171168,67,33.08,-16.33,59.0,5.82
300,Veinticinco de Mayo,0,AR,1608171168,46,-35.43,-60.17,70.0,8.41
301,Mbandaka,85,CD,1608171168,88,0.05,18.26,73.8,3.04
302,Ranong,40,TH,1608171169,94,9.97,98.63,78.8,4.43
303,Krasnosel'kup,100,RU,1608171169,92,65.7,82.47,-2.52,16.42
304,Santa Cruz de Tenerife,90,ES,1608171074,93,28.47,-16.25,66.0,20.8
305,Ulaanbaatar,20,MN,1608170942,75,47.91,106.88,-16.6,2.24
306,Morgan City,90,US,1608171169,75,29.7,-91.21,44.6,9.17
307,Gaogou,0,CN,1608171169,63,34.02,119.19,36.97,2.35
308,Luganville,40,VU,1608171169,79,-15.53,167.17,84.2,8.05
309,Lufilufi,75,WS,1608171169,79,-13.87,-171.6,84.2,17.22
310,Coquimbo,76,CL,1608171170,86,-29.95,-71.34,56.55,2.86
311,Nemuro,75,JP,1608171170,49,43.32,145.57,24.8,12.75
312,Karratha,0,AU,1608171170,54,-20.74,116.85,88.18,7.2
313,Ostrovnoy,90,RU,1608171074,93,68.05,39.51,27.37,13.69
314,Tual,66,ID,1608171064,75,-5.67,132.75,85.19,18.23
315,Ambon City,40,ID,1608171044,66,-3.7,128.18,87.8,11.41
316,Kastornoye,100,RU,1608171170,98,51.83,38.13,22.23,7.63
317,Grenville,20,GD,1608171170,83,12.12,-61.62,78.8,6.93
318,Borogontsy,100,RU,1608171170,80,62.67,131.17,-41.98,1.05
319,Yangambi,24,CD,1608171171,85,0.81,24.43,71.1,1.14
320,Bandarbeyla,5,SO,1608171118,75,9.49,50.81,73.78,17.96
321,Solnechnyy,95,RU,1608171171,81,50.72,136.63,-0.89,3.02
322,Nongstoin,0,IN,1608171171,57,25.52,91.27,53.31,1.14
323,Aripuanã,91,BR,1608171171,96,-9.17,-60.63,73.85,1.92
324,Martapura,40,ID,1608171171,83,-3.42,114.85,80.6,6.93
325,Lavaca,1,US,1608171171,65,28.61,-96.63,44.6,5.82
326,Comodoro Rivadavia,0,AR,1608171156,33,-45.87,-67.5,73.4,9.17
327,Batemans Bay,43,AU,1608171172,64,-35.72,150.18,81.0,5.01
328,Ascension,90,US,1608171172,70,30.22,-90.9,44.6,6.93
329,Jiamusi,0,CN,1608171172,87,46.83,130.35,-0.87,9.8
330,Bontang,100,ID,1608171172,80,0.13,117.5,78.76,7.94
331,Hammerfest,0,NO,1608171172,67,70.66,23.68,19.4,10.29
332,Muncar,13,ID,1608171173,68,-8.43,114.33,84.72,6.53
333,Cabo San Lucas,5,MX,1608170888,52,22.89,-109.91,69.8,5.82
334,Simbahan,69,PH,1608171173,78,6.3,120.58,83.35,16.08
335,Vao,44,NC,1608171173,71,-22.67,167.48,76.41,18.97
336,Severnoye,100,RU,1608171173,95,56.35,78.36,11.39,13.09
337,Tanout,0,NE,1608171174,28,14.97,8.89,62.49,9.48
338,Makakilo City,75,US,1608171138,54,21.35,-158.09,84.2,6.93
339,Cabedelo,40,BR,1608171174,83,-6.98,-34.83,78.8,6.93
340,Takoradze,100,GH,1608171174,87,4.88,-1.76,78.19,7.34
341,Conde,40,BR,1608171174,83,-7.26,-34.91,78.8,6.93
342,Manali,90,IN,1608171174,94,13.17,80.27,78.8,11.95
343,Synya,100,RU,1608171174,95,65.37,58.04,11.86,9.46
344,Sechura,98,PE,1608171109,72,-5.56,-80.82,71.69,12.73
345,Tezu,83,IN,1608171175,37,27.92,96.17,64.89,0.22
346,Dauphin,1,CA,1608171175,95,51.15,-100.05,17.6,14.99
347,Henties Bay,1,NA,1608171144,90,-22.12,14.28,62.01,1.99
348,Balkanabat,100,TM,1608171175,55,39.51,54.37,44.22,6.87
349,Salinópolis,84,BR,1608171056,78,-0.61,-47.36,80.82,10.8
350,Samaná,11,DO,1608171175,89,19.21,-69.34,74.19,5.84
351,Sabzawār,92,IR,1608171088,69,36.21,57.68,38.71,0.98
352,Saldanha,51,ZA,1608171176,87,-33.01,17.94,59.0,10.29
353,Kalianget,100,ID,1608171176,78,-7.05,113.93,80.96,4.34
354,Maham,0,IN,1608171176,56,28.98,76.3,45.54,7.56
355,Rancho Palos Verdes,5,US,1608171111,47,33.74,-118.39,60.01,9.17
356,Vardø,99,NO,1608171176,88,70.37,31.11,27.21,15.88
357,Corinth,44,GR,1608171176,71,37.94,22.96,54.0,1.99
358,Dunwoody,90,US,1608171056,93,33.95,-84.33,42.01,4.7
359,Pisco,0,PE,1608171177,82,-13.7,-76.22,68.0,10.29
360,Shenjiamen,89,CN,1608170906,62,29.96,122.3,47.44,12.03
361,Kupang,75,ID,1608171177,79,-10.17,123.58,84.2,11.41
362,Arlit,0,NE,1608171177,25,18.74,7.39,65.89,7.94
363,Roald,100,NO,1608171177,70,62.58,6.13,44.6,5.82
364,Yarmouth,90,US,1608171178,59,41.71,-70.23,33.8,8.05
365,Uyuni,0,BO,1608171178,35,-20.46,-66.83,55.76,9.75
366,Sekoma,91,BW,1608171178,73,-24.4,23.88,68.59,13.31
367,Lagoa,100,PT,1608171178,89,39.05,-27.98,63.52,29.24
368,Lakes Entrance,6,AU,1608171178,78,-37.88,147.98,75.0,5.01
369,Road Town,40,VG,1608171178,78,18.42,-64.62,78.8,5.82
370,Klaeng,56,TH,1608171179,95,12.78,101.65,82.0,7.16
371,Torbay,90,CA,1608171095,68,47.67,-52.73,27.0,39.15
372,Marsh Harbour,100,BS,1608171179,82,26.54,-77.06,76.41,12.39
373,Ningbo,0,CN,1608171179,56,29.88,121.55,46.99,6.71
